 U-235(n,el) ENDFB-8.0
Energy(eV) XS(b)
6.02700 9.87754
6.03451 9.85667
6.04201 9.83559
6.04951 9.81435
6.06128 9.78086
6.07304 9.74738
6.08481 9.71424
6.09657 9.68179
6.10834 9.65039
6.12010 9.62030
6.13187 9.59170
6.14363 9.56451
6.15326 9.54304
6.16289 9.52183
6.17252 9.50026
6.18215 9.47747
6.19179 9.45237
6.20142 9.42368
6.20623 9.40754
6.21105 9.38994
6.21586 9.37070
6.22068 9.34961
6.22415 9.33312
6.22763 9.31550
6.23111 9.29668
6.23459 9.27661
6.23807 9.25524
6.24155 9.23254
6.24503 9.20847
6.24850 9.18304
6.25198 9.15625
6.25546 9.12815
6.25894 9.09883
6.26242 9.06839
6.26590 9.03700
6.26938 9.00488
6.27285 8.97231
6.27633 8.93965
6.27847 8.91968
6.28061 8.89997
6.28246 8.88330
6.28430 8.86699
6.28614 8.85117
6.28798 8.83594
6.28983 8.82141
6.29167 8.80771
6.29351 8.79498
6.29535 8.78337
6.29720 8.77303
6.29904 8.76413
6.30088 8.75684
6.30272 8.75135
6.30457 8.74783
6.30641 8.74650
6.31009 8.75121
6.31270 8.76125
6.31531 8.77756
6.31792 8.80079
6.32053 8.83158
6.32314 8.87058
6.32574 8.91838
6.32835 8.97560
6.33096 9.04278
6.33618 9.20906
6.34139 9.42036
6.34661 9.67856
6.35183 9.98371
6.35679 10.3161
6.36176 10.6858
6.36672 11.0874
6.37169 11.5137
6.37599 11.8961
6.38028 12.2843
6.38458 12.6717
6.38888 13.0513
6.39200 13.3186
